Image,RMSE,SSIM,r,SNR,Corners
Noise_1,0.056065,0.961326,0.993783,25.026099,0.000000
Noise_10,0.447369,0.182168,0.495842,6.986685,475.000000
Noise_2,0.092764,0.664262,0.990688,20.652381,297.000000
Noise_3,0.153685,0.456386,0.978158,16.267363,364.000000
Noise_4,0.217220,0.342237,0.952859,13.261986,447.000000
Noise_5,0.278374,0.272642,0.909688,11.107435,443.000000
Noise_6,0.330847,0.237608,0.848780,9.607469,472.000000
Noise_7,0.370776,0.214177,0.772262,8.617759,462.000000
Noise_8,0.407119,0.197522,0.670059,7.805563,472.000000
Noise_9,0.431583,0.188989,0.568335,7.298715,469.000000
Média,0.278580,0.371732,0.818045,12.663146,390.100000
Desvio Padrão,0.142618,0.256805,0.183790,6.171057,148.914927
