Image,RMSE,SSIM,r,SNR,Corners
Noise_1,0.037054,0.988401,0.997269,28.623182,48.000000
Noise_10,0.414677,0.400995,0.730446,7.645802,302.000000
Noise_2,0.075352,0.794429,0.995072,22.458058,190.000000
Noise_3,0.136761,0.682124,0.984761,17.280774,258.000000
Noise_4,0.189515,0.585405,0.972549,14.447122,271.000000
Noise_5,0.241537,0.513739,0.954961,12.340320,314.000000
Noise_6,0.287139,0.478739,0.933902,10.838147,335.000000
Noise_7,0.326685,0.438358,0.900235,9.717422,414.000000
Noise_8,0.363224,0.423847,0.854520,8.796506,266.000000
Noise_9,0.392879,0.401178,0.787559,8.114833,392.000000
Média,0.246482,0.570722,0.911127,14.026217,279.000000
Desvio Padrão,0.133287,0.195925,0.092700,6.908227,104.264621
