Image,RMSE,SSIM,r,SNR,Corners
Noise_1,0.085102,0.898966,0.985657,21.401239,4.000000
Noise_10,0.435194,0.440302,0.718655,7.226351,459.000000
Noise_2,0.110713,0.732202,0.984566,19.116021,344.000000
Noise_3,0.157991,0.650392,0.980951,16.027364,372.000000
Noise_4,0.213660,0.575667,0.972652,13.405551,438.000000
Noise_5,0.270278,0.521095,0.957341,11.363771,440.000000
Noise_6,0.320701,0.495455,0.935151,9.878005,459.000000
Noise_7,0.359422,0.468142,0.901054,8.887900,483.000000
Noise_8,0.395136,0.452969,0.846940,8.065074,470.000000
Noise_9,0.419501,0.437285,0.767932,7.545350,478.000000
Média,0.276770,0.567247,0.905090,12.291663,394.700000
Desvio Padrão,0.129395,0.151805,0.096453,5.045060,144.658256
