Image,RMSE,SSIM,r,SNR,Corners
Noise_1,0.002297,0.999762,0.999991,52.776099,68.000000
Noise_10,0.434678,0.510918,0.786396,7.236642,219.000000
Noise_2,0.081165,0.741951,0.994469,21.812656,84.000000
Noise_3,0.153627,0.651869,0.984125,16.270636,96.000000
Noise_4,0.218038,0.580324,0.971921,13.229356,123.000000
Noise_5,0.274869,0.535464,0.957673,11.217470,179.000000
Noise_6,0.324062,0.515602,0.940870,9.787429,190.000000
Noise_7,0.360982,0.513187,0.919730,8.850295,201.000000
Noise_8,0.395455,0.515030,0.883117,8.058064,223.000000
Noise_9,0.418792,0.518136,0.832583,7.560042,212.000000
Média,0.266397,0.608224,0.927088,15.679869,159.500000
Desvio Padrão,0.148943,0.157425,0.072232,13.810961,60.367854
